Ensembl	Gene	Synonym	Description	Protein.class	Evidence	HPA.evidence	ENTREZID	Gene.name.HPA	myeloid DCStep
ENSG00000106952	TNFSF8	 CD153, CD30LG,	"TNF superfamily member 8"	"Cancer-related genes, CD markers, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	944	TNFSF8	FunctionGene,DCHighExpr
ENSG00000106991	ENG	 CD105, END, HHT1, ORW, ORW1,	Endoglin	"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	2022	ENG	CancerDExpr,FunctionGene
ENSG00000107020	PLGRKT	 AD025, C9orf46, FLJ14688, MDS030, Plg-RKT,	"Plasminogen receptor with a C-terminal lysine"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55848	PLGRKT	CancerDExpr
ENSG00000107099	DOCK8	 FLJ00026, FLJ00152, FLJ00346, ZIR8,	"Dedicator of cytokinesis 8"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	81704	DOCK8	CancerDExpr,DCHighExpr
ENSG00000107263	RAPGEF1	 C3G, GRF2,	"Rap guanine nucleotide exchange factor 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	2889	RAPGEF1	CancerDExpr,DCHighExpr
ENSG00000107290	SETX	 ALS4, AOA2, KIAA0625, SCAR1, Sen1,	Senataxin	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23064	SETX	DCHighExpr
ENSG00000107317	PTGDS	 L-PGDS, PGDS,	"Prostaglandin D2 synthase"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	5730	PTGDS	FunctionGene,DCHighExpr
ENSG00000107372	ZFAND5	 ZA20D2, ZFAND5A, ZNF216,	"Zinc finger AN1-type containing 5"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	7763	ZFAND5	CancerDExpr,DCHighExpr
ENSG00000107551	RASSF4	 AD037, MGC44914,	"Ras association domain family member 4"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	83937	RASSF4	TopGeneInFirstStep,CancerDExpr
ENSG00000107738	VSIR	 B7-H5, B7H5, C10orf54, Dies1, GI24, PD-1H, SISP1, VISTA,	"V-set immunoregulatory receptor"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	64115	VSIR	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000107758	PPP3CB	 CALNA2, CALNB, CNA2, PP2Bbeta,	"Protein phosphatase 3 catalytic subunit beta"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5532	PPP3CB	FunctionGene
ENSG00000107798	LIPA	 CESD, LAL,	"Lipase A, lysosomal acid type"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3988	LIPA	TopGeneInFirstStep,CancerDExpr
ENSG00000107968	MAP3K8	 c-COT, COT, EST, ESTF, MEKK8, Tpl-2,	"Mitogen-activated protein kinase kinase kinase 8"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1326	MAP3K8	CancerDExpr,FunctionGene,DCHighExpr
ENSG00000108061	SHOC2	 KIAA0862, SOC-2, SOC2, SUR-8, SUR8,	"SHOC2 leucine rich repeat scaffold protein"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	8036	SHOC2	DCHighExpr
ENSG00000108179	PPIF	 Cyp-D, hCyP3,	"Peptidylprolyl isomerase F"	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10105	PPIF	CancerDExpr
ENSG00000108312	UBTF	 NOR-90, UBF, UBF1, UBF2,	"Upstream binding transcription factor"	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7343	UBTF	DCHighExpr
ENSG00000108405	P2RX1	 P2X1,	"Purinergic receptor P2X 1"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	5023	P2RX1	DCHighExpr
ENSG00000108479	GALK1	 GALK,	"Galactokinase 1"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	2584	GALK1	TopGeneInFirstStep
ENSG00000108622	ICAM2	 CD102,	"Intercellular adhesion molecule 2"	"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3384	ICAM2	TopGeneInFirstStep,FunctionGene
ENSG00000108639	SYNGR2	 ,	"Synaptogyrin 2"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	9144	SYNGR2	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000108654	DDX5	 G17P1, HLR1, p68,	"DEAD-box helicase 5"	"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1655	DDX5	TopGeneInFirstStep,DCHighExpr
ENSG00000108669	CYTH1	 B2-1, cytohesin-1, D17S811E, PSCD1,	"Cytohesin 1"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9267	CYTH1	DCHighExpr
ENSG00000108771	DHX58	 D11LGP2, LGP2,	"DExH-box helicase 58"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	79132	DHX58	FunctionGene
ENSG00000108774	RAB5C	 RAB5CL, RABL,	"RAB5C, member RAS oncogene family"	"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5878	RAB5C	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000108788	MLX	 bHLHd13, MAD7, MXD7, TCFL4,	"MAX dimerization protein MLX"	"Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	6945	MLX	TF
ENSG00000108798	ABI3	 NESH, SSH3BP3,	"ABI family member 3"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51225	ABI3	TopGeneInFirstStep,CancerDExpr
ENSG00000108861	DUSP3	 VHR,	"Dual specificity phosphatase 3"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	1845	DUSP3	CancerDExpr
ENSG00000108984	MAP2K6	 MAPKK6, MEK6, MKK6, PRKMK6, SAPKK3,	"Mitogen-activated protein kinase kinase 6"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5608	MAP2K6	DCHighExpr
ENSG00000109062	SLC9A3R1	 EBP50, NHERF, NHERF1,	"SLC9A3 regulator 1"	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	9368	SLC9A3R1	TopGeneInFirstStep
ENSG00000109083	IFT20	 ,	"Intraflagellar transport 20"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	90410	IFT20	TopGeneInFirstStep,DCHighExpr
ENSG00000109099	PMP22	 CMT1A, GAS3, HMSNIA, HNPP, Sp110,	"Peripheral myelin protein 22"	"Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	5376	PMP22	CancerDExpr
ENSG00000109113	RAB34	 NARR, RAB39, RAH,	"RAB34, member RAS oncogene family"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	83871	RAB34	TopGeneInFirstStep
ENSG00000109180	OCIAD1	 Asrij, FLJ20455, OCIA, TPA018,	"OCIA domain containing 1"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	54940	OCIAD1	TopGeneInFirstStep,DCHighExpr
ENSG00000109320	NFKB1	 KBF1, NF-kappaB, NF-kB1, NFkappaB, NFKB-p50, p105, p50,	"Nuclear factor kappa B subunit 1"	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4790	NFKB1	CancerDExpr,TF,FunctionGene,DCHighExpr
ENSG00000109381	ELF2	 EU32, NERF, NERF-1A, NERF-1B, NERF-2,	"E74 like ETS transcription factor 2"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	1998	ELF2	TF,DCHighExpr
ENSG00000109670	FBXW7	 AGO, CDC4, FBW7, FBX30, FBXW6, FLJ11071, SEL-10, SEL10,	"F-box and WD repeat domain containing 7"	"Cancer-related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	55294	FBXW7	DCHighExpr
ENSG00000109689	STIM2	 ,	"Stromal interaction molecule 2"	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	57620	STIM2	DCHighExpr
ENSG00000109743	BST1	 CD157,	"Bone marrow stromal cell antigen 1"	"CD markers, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	683	BST1	TopGeneInFirstStep
ENSG00000109787	KLF3	 BKLF,	"Kruppel like factor 3"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	51274	KLF3	TF,DCHighExpr
ENSG00000109854	HTATIP2	 CC3, FLJ26963, SDR44U1, TIP30,	"HIV-1 Tat interactive protein 2"	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	10553	HTATIP2	TopGeneInFirstStep
ENSG00000109861	CTSC	 DPP1, PALS, PLS,	"Cathepsin C"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	1075	CTSC	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000109929	SC5D	 SC5DL,	Sterol-C5-desaturase	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	6309	SC5D	DCHighExpr
ENSG00000110031	LPXN	 LDPL,	Leupaxin	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9404	LPXN	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000110057	UNC93B1	 UNC93,	"Unc-93 homolog B1, TLR signaling regulator"	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	81622	UNC93B1	CancerDExpr,FunctionGene,DCHighExpr
ENSG00000110077	MS4A6A	 CD20L3, MS4A6,	"Membrane spanning 4-domains A6A"	"Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	64231	MS4A6A	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000110079	MS4A4A	 CD20L1, MS4A4, MS4A7,	"Membrane spanning 4-domains A4A"	"Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	51338	MS4A4A	CancerDExpr
ENSG00000110080	ST3GAL4	 CGS23, FLJ11867, NANTA3, SAT3, SIAT4, SIAT4C, STZ,	"ST3 beta-galactoside alpha-2,3-sialyltransferase 4"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	6484	ST3GAL4	DCHighExpr
ENSG00000110108	TMEM109	 MGC5508,	"Transmembrane protein 109"	"Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	79073	TMEM109	TopGeneInFirstStep,DCHighExpr
ENSG00000110200	ANAPC15	 APC15, C11orf51, DKFZP564M082, HSPC020,	"Anaphase promoting complex subunit 15"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	25906	ANAPC15	TopGeneInFirstStep,DCHighExpr
ENSG00000110324	IL10RA	 CD210, CD210a, CDW210A, HIL-10R, IL10R,	"Interleukin 10 receptor subunit alpha"	"CD markers, Disease related genes, Human disease related genes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	3587	IL10RA	CancerDExpr,FunctionGene,DCHighExpr
ENSG00000110330	BIRC2	 API1, c-IAP1, cIAP1, hiap-2, MIHB, RNF48,	"Baculoviral IAP repeat containing 2"	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	329	BIRC2	DCHighExpr
ENSG00000110395	CBL	 c-Cbl, CBL2, RNF55,	"Cbl proto-oncogene"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	867	CBL	FunctionGene
ENSG00000110442	COMMD9	 FLJ31106, HSPC166,	"COMM domain containing 9"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	29099	COMMD9	TopGeneInFirstStep,CancerDExpr
ENSG00000110446	SLC15A3	 hPTR3, PHT2,	"Solute carrier family 15 member 3"	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	51296	SLC15A3	CancerDExpr
ENSG00000110536	PTPMT1	 DUSP23, MOSP, PLIP,	"Protein tyrosine phosphatase mitochondrial 1"	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	114971	PTPMT1	DCHighExpr
ENSG00000110696	C11orf58	 SMAP,	"Chromosome 11 open reading frame 58"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	10944	C11orf58	TopGeneInFirstStep,DCHighExpr
ENSG00000110719	TCIRG1	 a3, Atp6i, ATP6N1C, ATP6V0A3, OC-116, OC116, TIRC7,	"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3"	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	10312	TCIRG1	CancerDExpr
ENSG00000110852	CLEC2B	 AICL, CLECSF2, HP10085,	"C-type lectin domain family 2 member B"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9976	CLEC2B	CancerDExpr,DCHighExpr
ENSG00000110876	SELPLG	 CD162, PSGL-1,	"Selectin P ligand"	"Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	6404	SELPLG	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000110880	CORO1C	 coronin-3, HCRNN4,	"Coronin 1C"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	23603	CORO1C	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000110934	BIN2	 BRAP-1,	"Bridging integrator 2"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	51411	BIN2	TopGeneInFirstStep,DCHighExpr
ENSG00000111144	LTA4H	 ,	"Leukotriene A4 hydrolase"	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	4048	LTA4H	TopGeneInFirstStep,DCHighExpr
ENSG00000111145	ELK3	 ERP, NET, SAP2,	"ETS transcription factor ELK3"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2004	ELK3	TF
ENSG00000111252	SH2B3	 IDDM20, LNK,	"SH2B adaptor protein 3"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10019	SH2B3	CancerDExpr,DCHighExpr
ENSG00000111269	CREBL2	 ,	"CAMP responsive element binding protein like 2"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at transcript level"	1389	CREBL2	CancerDExpr,TF
ENSG00000111275	ALDH2	 ,	"Aldehyde dehydrogenase 2 family member"	"Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	217	ALDH2	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000111321	LTBR	 D12S370, TNF-R-III, TNFCR, TNFR-RP, TNFR2-RP, TNFRSF3,	"Lymphotoxin beta receptor"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4055	LTBR	FunctionGene
ENSG00000111348	ARHGDIB	 GDIA2, GDID4, Ly-GDI, RAP1GN1, RhoGDI2,	"Rho GDP dissociation inhibitor beta"	"Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	397	ARHGDIB	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000111371	SLC38A1	 ATA1, NAT2, SAT1,	"Solute carrier family 38 member 1"	"FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	81539	SLC38A1	DCHighExpr
ENSG00000111424	VDR	 NR1I1, PPP1R163,	"Vitamin D receptor"	"Disease related genes, FDA approved drug targets, Human disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors, Transporters"	"Evidence at protein level"	"Evidence at protein level"	7421	VDR	TF,FunctionGene
ENSG00000111540	RAB5B	 ,	"RAB5B, member RAS oncogene family"	"Predicted intracellular proteins, RAS pathway related proteins"	"Evidence at protein level"	"Evidence at protein level"	5869	RAB5B	DCHighExpr
ENSG00000111596	CNOT2	 CDC36, NOT2, NOT2H,	"CCR4-NOT transcription complex subunit 2"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	4848	CNOT2	DCHighExpr
ENSG00000111666	CHPT1	 CPT1,	"Choline phosphotransferase 1"	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	56994	CHPT1	DCHighExpr
ENSG00000111679	PTPN6	 HCP, HCPH, PTP-1C, SHP-1, SHP1,	"Protein tyrosine phosphatase non-receptor type 6"	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5777	PTPN6	TopGeneInFirstStep,CancerDExpr,FunctionGene,DCHighExpr
ENSG00000111716	LDHB	 ,	"Lactate dehydrogenase B"	"Disease related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	3945	LDHB	TopGeneInFirstStep,DCHighExpr
ENSG00000111729	CLEC4A	 CD367, CLECSF6, DCIR, DDB27,	"C-type lectin domain family 4 member A"	"CD markers, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	50856	CLEC4A	TopGeneInFirstStep,CancerDExpr
ENSG00000111790	FGFR1OP2	 DKFZp564O1863,	"FGFR1 oncogene partner 2"	"Disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26127	FGFR1OP2	DCHighExpr
ENSG00000111817	DSE	 DS-Epi1, DSEPI, SART2,	"Dermatan sulfate epimerase"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	29940	DSE	CancerDExpr
ENSG00000111832	RWDD1	 PTD013,	"RWD domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	51389	RWDD1	DCHighExpr
ENSG00000111912	NCOA7	 dJ187J11.3, ERAP140, TLDC4,	"Nuclear receptor coactivator 7"	"Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	135112	NCOA7	DCHighExpr
ENSG00000111913	RIPOR2	 C6orf32, DIFF48, FAM65B, KIAA0386, MYONAP,	"RHO family interacting cell polarization regulator 2"	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at transcript level"	9750	RIPOR2	TopGeneInFirstStep,DCHighExpr
ENSG00000112096	SOD2	 GClnc1,	"Superoxide dismutase 2"	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	6648	SOD2	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000112137	PHACTR1	 dJ257A7.2, KIAA1733, RPEL1,	"Phosphatase and actin regulator 1"	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	221692	PHACTR1	CancerDExpr,DCHighExpr
ENSG00000112149	CD83	 BL11, HB15,	"CD83 molecule"	"CD markers, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	9308	CD83	CancerDExpr,DCHighExpr
ENSG00000112297	CRYBG1	 AIM1, ST4,	"Crystallin beta-gamma domain containing 1"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	202	CRYBG1	DCHighExpr
ENSG00000112343	TRIM38	 RNF15, RORET,	"Tripartite motif containing 38"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10475	TRIM38	DCHighExpr
ENSG00000112531	QKI	 QK3,	"QKI, KH domain containing RNA binding"	"Cancer-related genes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	9444	QKI	CancerDExpr,DCHighExpr
ENSG00000112561	TFEB	 bHLHe35, TCFEB,	"Transcription factor EB"	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	7942	TFEB	TF
ENSG00000112695	COX7A2	 COX7AL, COXVIIa-L,	"Cytochrome c oxidase subunit 7A2"	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at transcript level"	"Evidence at transcript level"	1347	COX7A2	TopGeneInFirstStep,DCHighExpr
ENSG00000112701	SENP6	 KIAA0797, SUSP1,	"SUMO specific peptidase 6"	"Enzymes, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	26054	SENP6	DCHighExpr
ENSG00000112799	LY86	 dJ80N2.1, MD-1,	"Lymphocyte antigen 86"	"Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	9450	LY86	TopGeneInFirstStep,CancerDExpr
ENSG00000112893	MAN2A1	 GOLIM7, MANA2,	"Mannosidase alpha class 2A member 1"	"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	4124	MAN2A1	DCHighExpr
ENSG00000113070	HBEGF	 DTR, DTS, HEGFL,	"Heparin binding EGF like growth factor"	"Predicted membrane proteins, Predicted secreted proteins"	"Evidence at protein level"	"Evidence at transcript level"	1839	HBEGF	CancerDExpr,FunctionGene
ENSG00000113163	CERT1	 CERT, COL4A3BP, GPBP, STARD11,	"Ceramide transporter 1"	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	10087	CERT1	DCHighExpr
ENSG00000113269	RNF130	 G1RZFP, GOLIATH, GP,	"Ring finger protein 130"	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	55819	RNF130	TopGeneInFirstStep,CancerDExpr,DCHighExpr
ENSG00000113282	CLINT1	 CLINT, ENTH, EPNR, KIAA0171,	"Clathrin interactor 1"	"Plasma proteins, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	9685	CLINT1	DCHighExpr
ENSG00000113328	CCNG1	 CCNG,	"Cyclin G1"	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	900	CCNG1	DCHighExpr
ENSG00000113369	ARRDC3	 KIAA1376, TLIMP,	"Arrestin domain containing 3"	"Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at transcript level"	57561	ARRDC3	CancerDExpr
ENSG00000113441	LNPEP	 CAP, IRAP, P-LAP, PLAP,	"Leucyl and cystinyl aminopeptidase"	"Enzymes, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at transcript level"	4012	LNPEP	DCHighExpr
ENSG00000113448	PDE4D	 DPDE3,	"Phosphodiesterase 4D"	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	5144	PDE4D	DCHighExpr
ENSG00000113504	SLC12A7	 DKFZP434F076, KCC4,	"Solute carrier family 12 member 7"	"Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	10723	SLC12A7	DCHighExpr
ENSG00000113532	ST8SIA4	 PST, PST1, SIAT8D,	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"	"Metabolic proteins, Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	7903	ST8SIA4	CancerDExpr,DCHighExpr
ENSG00000113580	NR3C1	 GR, GRL,	"Nuclear receptor subfamily 3 group C member 1"	"Disease related genes, FDA approved drug targets, Human disease related genes, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	2908	NR3C1	TF,FunctionGene,DCHighExpr
ENSG00000113658	SMAD5	 Dwfc, JV5-1, MADH5,	"SMAD family member 5"	"Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	4090	SMAD5	TF
ENSG00000113761	ZNF346	 JAZ, Zfp346,	"Zinc finger protein 346"	"Predicted intracellular proteins"	"Evidence at protein level"	"Evidence at protein level"	23567	ZNF346	TF
ENSG00000113851	CRBN	 MRT2, MRT2A,	Cereblon	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Transporters"	"Evidence at protein level"	"Evidence at protein level"	51185	CRBN	DCHighExpr
ENSG00000113916	BCL6	 BCL5, BCL6A, LAZ3, ZBTB27, ZNF51,	"BCL6 transcription repressor"	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Evidence at protein level"	"Evidence at protein level"	604	BCL6	TF
ENSG00000114013	CD86	 B7-2, B7.2, CD28LG2,	"CD86 molecule"	"CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	942	CD86	TopGeneInFirstStep,CancerDExpr,FunctionGene
ENSG00000114062	UBE3A	 ANCR, AS, E6-AP, EPVE6AP, FLJ26981, HPVE6A,	"Ubiquitin protein ligase E3A"	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Evidence at protein level"	"Evidence at protein level"	7337	UBE3A	DCHighExpr
